Title,Book Author,Narrated by,Series,Book Length,Released Date,Language,Ratings
A People's History of the United States,Howard Zinn,Jeff Zinn,,34 hrs and 8 mins,12-14-09,English,4.5 out of 5 stars
Dune Messiah,Frank Herbert,Scott Brick,Dune,8 hrs and 57 mins,10-01-07,English,4.5 out of 5 stars
Twisted Love,Ana Huang,Cindy Kay,Twisted,10 hrs and 41 mins,06-07-22,English,4.5 out of 5 stars
A Court of Mist and Fury,Sarah J. Maas,Jennifer Ikeda,A Court of Thorns and Roses,23 hrs and 16 mins,05-03-16,English,5 out of 5 stars
Recon,Craig Alanson,R.C. Bray,Convergence,16 hrs and 26 mins,05-21-24,English,5 out of 5 stars
"Sex, Death, and Money: Season 1",Cebelius -,Aurora Bliss,,12 hrs and 2 mins,07-03-24,English,5 out of 5 stars
A Court of Frost and Starlight,Sarah J. Maas,Amanda Leigh Cobb,A Court of Thorns and Roses,6 hrs and 23 mins,05-01-18,English,4.5 out of 5 stars
The Housemaid Is Watching,Freida McFadden,Lauryn Allman,The Housemaid,11 hrs and 42 mins,06-11-24,English,4.5 out of 5 stars
The Well of Ascension,Brandon Sanderson,Michael Kramer,The Mistborn Saga,28 hrs and 56 mins,12-28-08,English,5 out of 5 stars
The Daily Pressfield,Steven Pressfield,Steven Pressfield,,7 hrs and 19 mins,07-01-24,English,Not rated yet
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Jim Dale,Harry Potter,8 hrs and 18 mins,11-20-15,English,5 out of 5 stars
The Dungeon Anarchist's Cookbook,Matt Dinniman,Jeff Hays,Dungeon Crawler Carl,16 hrs and 54 mins,05-14-21,English,5 out of 5 stars
48 Laws of Power,Robert Greene,Richard Poe,,23 hrs and 6 mins,05-01-15,English,4.5 out of 5 stars
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Stina Nielsen,Blood and Ash,24 hrs and 21 mins,11-03-20,English,5 out of 5 stars
Just for the Summer,Abby Jimenez,Christine Lakin,,11 hrs and 43 mins,04-02-24,English,5 out of 5 stars
A Court of Wings and Ruin,Sarah J. Maas,Amanda Leigh Cobb,A Court of Thorns and Roses,25 hrs and 9 mins,05-02-17,English,5 out of 5 stars
Breaking the Habit of Being Yourself,Joe Dispenza,Adam Boyce,,10 hrs and 49 mins,03-26-20,English,4.5 out of 5 stars
Marrying Mr. Majestic,Lucy Lennox,Michael Dean,,8 hrs and 46 mins,07-05-24,English,5 out of 5 stars
The Crown of Gilded Bones,Jennifer L. Armentrout,Stina Nielsen,Blood and Ash,25 hrs and 22 mins,04-20-21,English,4.5 out of 5 stars
Harry Potter and the Prisoner of Azkaban (Narrated by Stephen Fry),J.K. Rowling,Stephen Fry,Harry Potter (Narrated by Stephen Fry),12 hrs and 3 mins,04-18-24,English,5 out of 5 stars
The Vampire and the Case of the Cursed Canine,"Heather G. Harris,Jilleen Dolbeare",Alyse Gibbs,The Portlock Paranormal Detective Series,7 hrs and 58 mins,07-05-24,English,4.5 out of 5 stars
The Devil's Hand,Jack Carr,Ray Porter,Terminal List Book Series,14 hrs and 37 mins,04-13-21,English,5 out of 5 stars
Star Wars: Temptation of the Force (The High Republic),Tessa Gratton,Marc Thompson,Star Wars: The High Republic,17 hrs and 3 mins,06-11-24,English,4.5 out of 5 stars
Storm of Secrets and Sorrow,Melissa Roehrich,Laura Horowitz,The Legacy Series,23 hrs and 41 mins,06-17-24,English,5 out of 5 stars
How to Talk to Anyone,Leil Lowndes,Joyce Bean,,8 hrs and 59 mins,09-01-15,English,4 out of 5 stars
Resurgence,Ken Lozito,Scott Aiello,First Colony,7 hrs and 30 mins,07-03-24,English,5 out of 5 stars
Funny Story,Emily Henry,Julia Whelan,,11 hrs and 23 mins,04-23-24,English,4.5 out of 5 stars
Defiance of the Fall 13,"TheFirstDefier,JF Brink",Pavi Proczko,Defiance of the Fall,24 hrs and 35 mins,06-26-24,English,4.5 out of 5 stars
Camino Ghosts,John Grisham,Whoopi Goldberg,Camino,10 hrs and 17 mins,05-28-24,English,4 out of 5 stars
A Calamity of Souls,David Baldacci,David Baldacci,,14 hrs and 28 mins,04-16-24,English,4.5 out of 5 stars
Nobody Like Us,"Krista Ritchie,Becca Ritchie",Lessa Lamb,Like Us,25 hrs and 21 mins,06-25-24,English,5 out of 5 stars
Score on You,Harloe Rae,Wen Ross,,8 hrs and 43 mins,07-01-24,English,5 out of 5 stars
Hercule Poirot: The Complete Short Stories,Agatha Christie,David Suchet,A Hercule Poirot Mystery,35 hrs and 5 mins,08-31-21,English,5 out of 5 stars
Restless Stars,"Caroline Peckham,Susanne Valenti",Bridget Bordeaux,Zodiac Academy,34 hrs and 26 mins,04-23-24,English,5 out of 5 stars
House of Earth and Blood,Sarah J. Maas,Elizabeth Evans,Crescent City,27 hrs and 50 mins,03-03-20,English,5 out of 5 stars
101 Essays That Will Change the Way You Think,Brianna Wiest,Abby Craden,,10 hrs and 45 mins,08-21-18,English,4.5 out of 5 stars
A Court of Thorns and Roses,Sarah J. Maas,Jennifer Ikeda,A Court of Thorns and Roses,16 hrs and 7 mins,05-05-15,English,4.5 out of 5 stars
Eruption,"Michael Crichton,James Patterson",Scott Brick,,10 hrs and 32 mins,06-03-24,English,4 out of 5 stars
The Edges of Power,"Alexey Osadchuk,Zachary J. Lorang - translated by",Ryan Burke,Last Life,9 hrs and 11 mins,06-25-24,English,5 out of 5 stars
It Ruins Me,Penelope Sky,Ramona Master,,7 hrs and 7 mins,07-09-24,English,5 out of 5 stars
Crescent Dawn,"Clive Cussler,Dirk Cussler",Scott Brick,Dirk Pitt Adventures,14 hrs and 34 mins,06-28-24,English,Not rated yet
Curvy Girl Summer,Danielle Allen,Wesleigh Siobhan,,12 hrs and 23 mins,06-11-24,English,5 out of 5 stars
The Stand,Stephen King,Grover Gardner,,47 hrs and 47 mins,02-14-12,English,4.5 out of 5 stars
